61,12,-1.4451,2.6012,0.4953,0.0000,0.0000,0,-0.0043,1.4458,collision
62,20,-1.5377,2.2124,0.5021,0.0000,0.0000,0,-0.0042,1.4634,collision
63,4,-2.0902,0.0000,0.5089,0.0000,0.0000,0,-0.0086,0.9953,out
64,50,6.4639,17.2875,0.4992,0.0000,0.0000,2,-0.0044,1.5265,collision
65,18,-1.2155,3.9626,0.5044,0.0000,0.0000,0,-0.0022,1.5217,collision
66,28,-1.2854,3.9561,0.5056,0.0000,0.0000,0,-0.0039,1.2854,landed
67,6,-1.7089,1.4136,0.5026,0.0000,0.0000,0,-0.0014,1.7861,collision
68,4,-2.0786,0.0164,0.5068,0.0000,0.0000,0,-0.0098,0.9576,out
69,40,2.5843,11.6246,0.4978,0.0000,0.0000,1,-0.0059,1.5045,landed
70,7,-2.0075,0.0275,0.5059,0.0000,0.0000,0,-0.0047,1.2850,collision
71,9,-1.7493,1.3188,0.5019,0.0000,0.0000,0,-0.0031,1.4664,collision
72,19,-1.4518,2.7395,0.5023,0.0000,0.0000,0,-0.0031,1.2596,collision
73,8,-1.7297,1.3486,0.5047,0.0000,0.0000,0,-0.0020,1.3817,collision
74,12,-1.1964,4.0368,0.5026,0.0000,0.0000,0,-0.0042,1.5540,collision
75,7,-1.5068,2.5518,0.5041,0.0000,0.0000,0,-0.0049,1.6019,collision
76,9,-1.8008,1.0422,0.5058,0.0000,0.0000,0,-0.0047,1.2877,collision
77,17,-1.1491,4.2381,0.5002,0.0000,0.0000,0,-0.0042,1.3929,collision
78,17,-1.6201,1.9801,0.5060,0.0000,0.0000,0,-0.0037,1.6021,collision
79,11,-1.8353,1.0411,0.5023,0.0000,0.0000,0,-0.0024,1.1555,collision
80,18,-0.9333,5.4300,0.5042,0.0000,0.0000,0,-0.0035,1.2546,collision
81,56,2.3132,9.7142,0.5012,0.0000,0.0000,1,-0.0035,1.3435,collision
82,37,1.9365,8.8377,0.4989,0.0000,0.0000,1,-0.0063,1.4006,collision
83,11,-1.7695,1.0480,0.5025,0.0000,0.0000,0,-0.0025,1.3242,collision
84,16,-0.7984,6.0406,0.5013,0.0000,0.0000,0,-0.0032,1.6209,collision
85,11,-1.4388,2.7990,0.5005,0.0000,0.0000,0,-0.0039,1.5526,collision
86,32,-0.9141,5.7283,0.5027,0.0000,0.0000,0,-0.0023,1.3543,collision
87,6,-1.3712,3.0520,0.5028,0.0000,0.0000,0,0.0008,2.1559,collision
88,7,-1.9073,0.4846,0.5042,0.0000,0.0000,0,-0.0014,1.3234,collision
89,24,-0.8304,6.0440,0.4998,0.0000,0.0000,0,-0.0074,1.4984,collision
90,37,-1.2166,3.6869,0.4994,0.0000,0.0000,0,-0.0057,1.2543,collision
91,13,-1.1183,4.3777,0.4998,0.0000,0.0000,0,-0.0047,1.4881,landed
92,10,-1.5879,2.0973,0.5028,0.0000,0.0000,0,-0.0028,1.4076,collision
93,13,-1.4022,3.1168,0.5039,0.0000,0.0000,0,-0.0024,1.5651,collision
94,15,-1.5299,2.4511,0.5061,0.0000,0.0000,0,-0.0057,1.4211,collision
95,6,-1.9547,0.2053,0.5052,0.0000,0.0000,0,-0.0033,1.4548,collision
96,23,-0.9139,5.3098,0.4993,0.0000,0.0000,0,-0.0063,1.4673,collision
97,17,-1.8383,0.8999,0.5029,0.0000,0.0000,0,-0.0021,1.3993,collision
98,34,2.9439,13.6758,0.5035,0.0000,0.0000,1,-0.0024,1.7495,landed
99,19,-0.9369,5.2697,0.5034,0.0000,0.0000,0,-0.0013,1.4458,collision
100,33,-0.9007,5.2640,0.5033,0.0000,0.0000,0,-0.0034,1.3343,collision
101,10,-1.4818,2.5159,0.5055,0.0000,0.0000,0,-0.0052,1.3792,landed
102,17,-1.3445,3.0994,0.5018,0.0000,0.0000,0,-0.0027,1.4648,collision
103,15,-1.5630,2.3716,0.5047,0.0000,0.0000,0,-0.0026,1.1403,collision
104,11,-1.2931,3.4859,0.5001,0.0000,0.0000,0,-0.0026,1.7049,collision
105,13,-1.8369,0.7187,0.5027,0.0000,0.0000,0,-0.0031,1.4048,collision
106,17,-1.3232,3.3730,0.5028,0.0000,0.0000,0,-0.0038,1.4352,collision
107,9,-1.7696,1.1383,0.5045,0.0000,0.0000,0,-0.0048,1.3789,collision
108,32,-0.9643,5.4654,0.5027,0.0000,0.0000,0,-0.0040,1.3492,collision
109,8,-2.1681,0.0093,0.5068,0.0000,0.0000,0,-0.0058,0.8970,out
110,27,-0.7837,6.0160,0.5034,0.0000,0.0000,0,-0.0024,1.5443,collision
111,20,-1.1042,4.4619,0.5018,0.0000,0.0000,0,-0.0053,1.4395,landed
112,12,-1.6372,1.8277,0.5033,0.0000,0.0000,0,-0.0041,1.1227,collision
113,30,2.4834,10.9143,0.5005,0.0000,0.0000,1,-0.0032,1.4695,landed
114,11,-1.5235,2.4779,0.5022,0.0000,0.0000,0,-0.0027,1.6852,collision
115,7,-1.7779,1.0370,0.5012,0.0000,0.0000,0,-0.0034,1.4573,collision
116,23,-1.4237,2.8920,0.5039,0.0000,0.0000,0,-0.0044,1.5510,collision
117,4,-1.9904,0.2002,0.5064,0.0000,0.0000,0,-0.0025,1.5629,collision
118,6,-1.4820,3.7188,0.5009,0.0000,0.0000,0,-0.0010,1.3652,collision
119,13,-1.3412,3.3542,0.5040,0.0000,0.0000,0,-0.0047,1.4915,collision
120,7,-1.9461,0.5817,0.5028,0.0000,0.0000,0,-0.0052,1.2447,collision
121,21,-1.3668,3.1533,0.4981,0.0000,0.0000,0,-0.0045,1.4547,collision
122,45,3.2326,14.1410,0.4975,0.0000,0.0000,1,-0.0064,1.4203,collision
123,35,1.8281,7.1384,0.5014,0.0000,0.0000,1,-0.0033,1.3112,collision
124,5,-1.8039,1.0060,0.5043,0.0000,0.0000,0,-0.0057,1.6642,collision
125,4,-2.1149,0.0000,0.5080,0.0000,0.0000,0,-0.0090,1.5504,out
126,11,-1.4629,2.8025,0.5048,0.0000,0.0000,0,-0.0054,1.5043,collision
127,11,-1.5800,2.0704,0.5023,0.0000,0.0000,0,-0.0036,1.2745,collision
128,22,-1.0630,4.8586,0.5042,0.0000,0.0000,0,-0.0022,1.4038,collision
129,16,-1.5059,2.9172,0.5031,0.0000,0.0000,0,-0.0024,1.4277,collision
130,5,-2.0855,0.0000,0.5083,0.0000,0.0000,0,-0.0026,1.3660,collision
131,12,-1.5915,2.2607,0.5043,0.0000,0.0000,0,-0.0027,1.4399,collision
132,11,-1.7400,1.2348,0.5028,0.0000,0.0000,0,-0.0020,1.3821,collision
133,22,-0.9884,5.2579,0.5040,0.0000,0.0000,0,-0.0020,1.4812,collision
134,9,-1.5731,2.1439,0.5015,0.0000,0.0000,0,-0.0034,1.2893,collision
135,11,-1.2417,3.9516,0.5018,0.0000,0.0000,0,-0.0028,1.3745,collision
136,17,-0.9708,5.1263,0.4977,0.0000,0.0000,0,-0.0059,1.3405,collision
137,10,-1.4561,2.7578,0.5010,0.0000,0.0000,0,-0.0011,1.4972,collision
138,40,2.5027,10.8523,0.4998,0.0000,0.0000,1,-0.0035,1.4403,collision
139,4,-1.8894,0.5150,0.5044,0.0000,0.0000,0,0.0011,1.4008,collision
140,6,-1.8301,0.8552,0.5038,0.0000,0.0000,0,-0.0032,1.5373,collision
141,13,-1.0937,4.5476,0.5003,0.0000,0.0000,0,-0.0002,1.3601,collision
142,14,-1.6437,1.8951,0.5041,0.0000,0.0000,0,-0.0045,1.2714,collision
143,11,-1.6528,1.7321,0.4986,0.0000,0.0000,0,-0.0045,1.3944,collision
144,17,-0.9402,5.3859,0.5014,0.0000,0.0000,0,-0.0031,1.4363,collision
145,43,2.0192,8.8340,0.4982,0.0000,0.0000,1,-0.0076,1.4091,collision
146,49,2.5661,10.9842,0.4995,0.0000,0.0000,1,-0.0046,1.3008,landed
147,13,-1.0144,5.2722,0.5033,0.0000,0.0000,0,-0.0048,1.4597,collision
148,8,-1.4750,2.5464,0.4994,0.0000,0.0000,0,-0.0018,1.6111,collision
149,8,-2.1216,0.1455,0.5069,0.0000,0.0000,0,-0.0086,1.3588,out
150,24,-1.4882,2.5892,0.5016,0.0000,0.0000,0,-0.0056,1.2553,collision
151,16,-1.2986,3.5687,0.5043,0.0000,0.0000,0,-0.0037,1.4772,collision
152,8,-2.0237,0.0000,0.5050,0.0000,0.0000,0,-0.0039,1.3899,collision
153,16,-0.9665,5.2563,0.5013,0.0000,0.0000,0,-0.0027,1.5134,collision
154,27,-1.2402,3.5919,0.5033,0.0000,0.0000,0,-0.0037,1.3968,collision
155,7,-1.7884,0.9407,0.5062,0.0000,0.0000,0,-0.0005,1.4928,collision
156,15,-1.2804,3.8838,0.5008,0.0000,0.0000,0,-0.0030,1.3873,collision
157,33,-0.9167,5.5215,0.5017,0.0000,0.0000,0,-0.0040,1.3369,collision
158,16,-0.8911,5.5878,0.5023,0.0000,0.0000,0,-0.0019,1.4832,collision
159,22,1.7697,7.5363,0.4991,0.0000,0.0000,1,-0.0047,1.3996,collision
160,28,-1.6191,2.0606,0.5039,0.0000,0.0000,0,-0.0040,1.1556,collision
161,14,-1.6399,1.7098,0.5020,0.0000,0.0000,0,-0.0050,1.2442,collision
162,10,-1.3694,3.2555,0.4991,0.0000,0.0000,0,-0.0010,1.6884,collision
163,8,-1.7591,1.3197,0.5035,0.0000,0.0000,0,-0.0080,1.5842,collision
164,12,-1.4868,2.6260,0.5027,0.0000,0.0000,0,-0.0013,1.3301,collision
165,15,-0.9318,5.4486,0.4989,0.0000,0.0000,0,-0.0029,1.5919,collision
166,10,-1.5041,2.6082,0.5011,0.0000,0.0000,0,-0.0018,1.5986,collision
167,10,-1.5498,2.2259,0.5034,0.0000,0.0000,0,-0.0057,1.3012,collision
168,14,-1.2775,3.6441,0.5051,0.0000,0.0000,0,-0.0023,1.5029,collision
169,11,-1.7269,1.3705,0.5012,0.0000,0.0000,0,-0.0025,1.4247,collision
170,11,-1.4887,2.6814,0.5029,0.0000,0.0000,0,-0.0035,1.2513,collision
171,35,-0.9426,5.5025,0.5007,0.0000,0.0000,0,-0.0065,1.2691,collision
172,18,-1.2198,4.0103,0.5020,0.0000,0.0000,0,-0.0022,1.3379,collision
173,7,-1.6357,1.7133,0.5014,0.0000,0.0000,0,-0.0025,1.1647,collision
174,8,-1.8055,0.9796,0.5041,0.0000,0.0000,0,-0.0042,1.2321,collision
175,16,-1.7086,1.4329,0.5016,0.0000,0.0000,0,-0.0029,1.4079,collision
176,4,-1.9967,0.0882,0.5046,0.0000,0.0000,0,-0.0021,1.6487,collision
177,37,-0.7722,6.1020,0.5044,0.0000,0.0000,0,-0.0043,1.3647,collision
178,10,-1.5998,2.0317,0.5014,0.0000,0.0000,0,-0.0032,1.3158,collision
179,10,-2.0710,0.6686,0.5045,0.0000,0.0000,0,-0.0031,1.2444,collision
180,15,-0.8623,5.8463,0.4990,0.0000,0.0000,0,-0.0043,1.7117,collision
181,22,-1.2469,3.7373,0.5029,0.0000,0.0000,0,-0.0057,1.6043,landed
182,22,-1.8811,1.0434,0.5038,0.0000,0.0000,0,-0.0056,1.3100,landed
183,12,-1.1419,4.0475,0.4984,0.0000,0.0000,0,-0.0011,1.6013,collision
184,55,3.2358,14.0332,0.4999,0.0000,0.0000,1,-0.0029,1.5094,collision
185,11,-1.6485,1.6329,0.5013,0.0000,0.0000,0,-0.0033,1.2686,collision
186,34,-0.7046,6.5534,0.5007,0.0000,0.0000,0,-0.0053,1.4193,collision
187,24,-1.0030,5.2482,0.5037,0.0000,0.0000,0,-0.0041,1.3813,collision
188,14,-1.3491,3.1613,0.5052,0.0000,0.0000,0,-0.0032,1.3242,landed
189,42,-0.9597,5.8654,0.5023,0.0000,0.0000,0,-0.0040,1.1964,collision
190,10,-1.5657,2.1146,0.5031,0.0000,0.0000,0,-0.0032,1.5856,collision
191,21,-1.5117,2.3790,0.4999,0.0000,0.0000,0,-0.0067,1.2746,collision
192,27,-1.2075,3.9418,0.5037,0.0000,0.0000,0,-0.0033,1.0673,collision
193,32,-0.8358,5.8489,0.4983,0.0000,0.0000,0,-0.0084,1.4043,collision
194,41,2.6866,11.5349,0.5041,0.0000,0.0000,1,-0.0055,1.4106,landed
195,13,-1.6598,1.7252,0.5013,0.0000,0.0000,0,-0.0043,1.2305,collision
196,25,-0.7567,6.3520,0.5011,0.0000,0.0000,0,-0.0028,1.3507,collision
197,27,-0.6531,6.5890,0.5034,0.0000,0.0000,0,-0.0018,1.4827,collision
198,17,-1.4093,3.1976,0.5008,0.0000,0.0000,0,-0.0047,1.5254,collision
199,6,-1.6156,2.0676,0.5006,0.0000,0.0000,0,-0.0025,1.4628,collision
200,4,-1.9620,0.1966,0.5071,0.0000,0.0000,0,-0.0015,1.4751,collision
201,21,-1.2824,3.8123,0.4976,0.0000,0.0000,0,-0.0072,1.4318,collision
202,8,-1.8802,0.6007,0.5056,0.0000,0.0000,0,-0.0034,1.0580,collision
203,15,-1.4399,2.7566,0.5069,0.0000,0.0000,0,-0.0021,1.2861,landed
204,21,-1.4499,2.8763,0.5034,0.0000,0.0000,0,-0.0045,1.4537,landed
205,27,-0.9374,5.2613,0.5013,0.0000,0.0000,0,-0.0026,1.3678,collision
206,21,-0.9537,5.2841,0.5040,0.0000,0.0000,0,-0.0036,1.3024,collision
207,7,-1.9532,0.2625,0.5030,0.0000,0.0000,0,-0.0014,1.1624,collision
208,59,3.2505,14.3025,0.4977,0.0000,0.0000,1,-0.0053,1.3737,collision
209,22,-1.4194,2.7516,0.5038,0.0000,0.0000,0,-0.0034,1.2886,collision
210,16,-1.1265,4.3890,0.5039,0.0000,0.0000,0,-0.0041,1.3276,collision
211,15,-1.1306,4.3184,0.5017,0.0000,0.0000,0,-0.0019,1.3115,collision
212,9,-1.8146,0.9134,0.5066,0.0000,0.0000,0,-0.0022,1.3878,landed
