79,56,-1.7928,3.2453,0.1818,-0.0449,0.1441,0,collision
80,46,-1.9389,2.5523,0.1827,-0.0616,0.1747,0,collision
81,35,-1.9077,1.8005,0.1836,-0.0116,0.4359,0,collision
82,31,-2.1143,1.7989,0.1847,0.0046,0.1333,0,collision
83,46,-1.7010,2.2950,0.1852,-0.0110,0.1621,0,collision
84,5,-2.1399,0.0000,0.1859,-0.0121,0.6392,0,out
85,87,-2.3967,1.8698,0.1867,-0.0459,0.0848,0,collision
86,17,-1.8806,1.4369,0.1877,-0.0175,0.2060,0,collision
87,9,-2.1444,0.0000,0.1881,-0.0108,0.3839,0,out
88,16,-1.9615,0.9410,0.1885,0.0071,0.1518,0,collision
89,16,-1.9758,0.6538,0.1888,-0.0292,0.1775,0,landed
90,47,-1.0068,5.9356,0.1894,-0.0528,0.1822,0,collision
91,7,-2.1019,0.0000,0.1902,-0.0974,0.4216,0,out
92,8,-2.1219,0.0000,0.1908,0.0113,0.3756,0,out
93,137,-1.6307,4.0867,0.1922,-0.0611,0.1494,0,collision
94,22,-2.0810,0.3374,0.1945,-0.0575,0.1383,0,collision
95,23,-2.1070,0.6052,0.1952,-0.0550,0.1218,0,collision
96,19,-2.0360,1.1992,0.1959,-0.0916,0.1695,0,landed
97,42,-1.8253,2.8240,0.1969,-0.0023,0.1991,0,collision
98,21,-1.7892,1.5657,0.1983,-0.0119,0.1302,0,landed
99,3,-2.0984,0.0000,0.1988,0.0805,0.6024,0,out
100,40,-1.6764,2.0383,0.1995,-0.0863,0.1794,0,collision
101,44,-1.0164,5.3881,0.2010,-0.0858,0.1004,0,collision
102,17,-2.0414,0.2904,0.2025,-0.0169,0.1419,0,collision
103,59,-2.0650,2.9148,0.2037,-0.0534,0.0442,0,collision
104,10,-2.1693,0.0000,0.2049,0.0107,0.3222,0,out
105,55,-1.7021,3.3936,0.2058,-0.0860,0.0850,0,collision
106,66,-2.0119,3.1724,0.2073,-0.0466,0.2052,0,landed
107,17,-1.6306,2.1327,0.2091,-0.0852,0.1258,0,landed
108,9,-2.1639,0.0000,0.2098,-0.0253,0.2993,0,out
109,20,-1.9868,0.6037,0.2105,0.0432,0.1032,0,collision
110,15,-2.2215,0.1899,0.2111,-0.0799,0.1677,0,collision
111,24,-2.1030,0.9728,0.2117,-0.0468,0.1090,0,collision
112,4,-2.1022,0.0000,0.2123,0.1044,0.4472,0,out
113,23,-2.0806,0.6498,0.2126,-0.0096,0.0850,0,landed
114,29,-2.1274,1.6813,0.2129,-0.0559,0.0970,0,landed
115,9,-2.1425,0.1538,0.2132,-0.0588,0.2478,0,out
116,68,-1.3119,4.8209,0.2140,-0.0630,0.1775,0,collision
117,20,-1.8447,1.7182,0.2153,0.0267,0.0656,0,collision
118,12,-1.9918,0.7878,0.2158,-0.0759,0.1490,0,collision
119,37,-2.2325,0.5449,0.2163,-0.0862,0.1672,0,out
120,12,-1.9167,0.4286,0.2174,0.0114,0.0932,0,landed
121,56,-1.1781,4.4733,0.2181,-0.0243,0.1164,0,collision
122,11,-2.3420,0.0000,0.2189,-0.0409,0.1564,0,out
123,34,-2.0588,0.7394,0.2194,-0.0823,0.2165,0,collision
124,9,-2.1381,0.0000,0.2203,-0.0725,0.1621,0,out
125,25,-1.5896,2.5673,0.2209,-0.0746,0.1161,0,landed
126,32,-1.7965,1.0337,0.2215,-0.0234,0.0380,0,collision
127,39,-1.0678,5.3762,0.2223,-0.0829,0.1707,0,collision
128,46,-1.4094,3.4507,0.2241,-0.0759,0.1249,0,collision
129,14,-2.1665,0.4594,0.2256,-0.1544,0.1073,0,out
130,114,1.3812,7.7743,0.2279,-0.0876,0.5367,1,collision
131,41,-1.3740,3.9637,0.2309,-0.1175,0.1157,0,collision
132,15,-2.1260,0.4263,0.2330,-0.0826,0.0877,0,landed
133,30,-1.5029,3.0590,0.2342,-0.1045,0.0797,0,landed
134,62,-1.6034,3.2235,0.2361,-0.0742,0.0426,0,landed
135,41,-1.2764,4.4676,0.2383,-0.1340,0.0751,0,collision
136,31,-1.8556,1.5679,0.2407,-0.0308,0.0516,0,landed
137,40,-2.2140,1.8582,0.2424,-0.0610,0.1193,0,collision
138,86,-1.9910,2.3462,0.2458,-0.1497,0.0340,0,collision
139,76,-1.0100,5.2608,0.2497,-0.1072,0.0801,0,collision
140,57,-1.7403,3.8219,0.2539,-0.0858,0.0340,0,collision
141,37,-1.1743,5.4512,0.2563,-0.0154,0.1363,0,collision
142,48,-1.0940,5.2746,0.2592,-0.0056,0.0551,0,collision
143,8,-2.1529,0.0000,0.2610,0.0272,0.2428,0,out
144,29,-1.9190,1.7626,0.2619,-0.0277,0.0419,0,collision
145,69,-2.1014,3.1684,0.2632,-0.1737,0.0798,0,collision
146,5,-2.1193,0.0000,0.2656,-0.0446,0.3092,0,out
147,24,-1.5652,2.7977,0.2668,-0.0484,0.0579,0,collision
148,78,-1.6363,3.9880,0.2687,-0.0820,0.0424,0,collision
149,80,-1.9127,5.3325,0.2722,-0.1052,0.0312,0,collision
150,45,-1.4083,4.3835,0.2754,-0.0997,0.0675,0,collision
151,71,-1.4104,4.3744,0.2787,-0.0884,0.0744,0,collision
152,52,-1.0572,5.1211,0.2824,-0.0499,0.0723,0,collision
153,51,-1.1953,5.4612,0.2848,-0.0843,0.0747,0,collision
154,35,-1.1284,5.2448,0.2869,-0.2930,0.1535,0,collision
155,40,-1.9286,1.3547,0.2903,-0.0381,0.0774,0,collision
156,21,-1.7484,1.7539,0.2940,-0.1993,0.0783,0,collision
157,9,-2.1320,0.0000,0.2962,-0.0748,0.1687,0,out
158,53,-1.5223,5.3122,0.2974,-0.0430,0.0393,0,collision
159,61,-1.0760,5.8094,0.3013,-0.1874,0.0566,0,collision
160,56,-1.1332,5.5726,0.3042,-0.0137,0.0516,0,collision
161,98,2.3547,11.8341,0.3095,-0.2187,0.3108,1,collision
162,41,-0.9208,5.4765,0.3164,-0.0169,0.0825,0,collision
163,36,-1.1540,5.2544,0.3201,-0.1189,0.1398,0,collision
164,37,-0.9958,5.5792,0.3244,-0.1726,0.1528,0,collision
165,25,-0.9314,5.2735,0.3286,-0.0807,0.1112,0,collision
166,33,-1.0802,5.2661,0.3308,-0.0975,0.2526,0,collision
167,85,2.6100,13.7724,0.3370,-0.1658,0.5078,1,collision
168,33,-1.2276,4.7521,0.3421,-0.0688,0.2373,0,collision
169,62,2.0927,9.9938,0.3476,-0.1695,0.3278,1,collision
170,52,-1.2146,5.7094,0.3522,-0.1824,0.0549,0,collision
171,17,-1.2618,3.6373,0.3563,-0.2792,0.0800,0,collision
172,44,1.6068,7.2770,0.3598,-0.1574,0.8235,1,collision
173,39,-1.0549,5.2567,0.3650,-0.0087,0.1292,0,collision
174,22,-1.6424,2.8937,0.3695,-0.2570,0.0824,0,collision
175,37,-1.1035,5.3303,0.3722,-0.2616,0.1606,0,collision
176,25,-2.1434,0.3705,0.3773,-0.0872,0.1016,0,out
177,39,1.8079,7.8454,0.3803,-0.0198,0.9023,1,collision
178,22,-1.8552,0.9860,0.3845,0.0541,0.0807,0,collision
179,4,-2.1145,0.0000,0.3864,0.1706,0.3992,0,out
180,56,-1.4021,4.3987,0.3889,-0.2001,0.0518,0,landed
181,45,-0.9301,6.0899,0.3927,-0.1764,0.1108,0,collision
182,22,-0.9784,5.2567,0.3964,0.0102,0.1100,0,collision
183,80,2.8628,14.6691,0.3999,-0.1345,0.4611,1,collision
184,15,-2.0791,0.7416,0.4047,0.0148,0.1492,0,collision
185,85,2.8287,14.1415,0.4080,-0.0176,0.5167,1,collision
186,59,2.0479,9.4630,0.4119,-0.0028,0.2228,1,collision
187,23,-1.1054,5.0720,0.4135,-0.0884,0.1069,0,collision
188,32,-1.0146,5.3988,0.4144,0.0048,0.0504,0,collision
189,95,6.8297,18.8680,0.4164,-0.1193,1.0667,2,collision
190,20,-1.5757,3.1072,0.4187,-0.1602,0.1256,0,collision
191,22,-1.8847,1.4832,0.4198,-0.2472,0.1071,0,collision
192,41,-1.0485,5.2507,0.4215,-0.1212,0.1133,0,collision
193,50,2.1312,10.0064,0.4251,-0.0980,0.4271,1,landed
194,38,-1.0990,5.5492,0.4282,-0.2796,0.2045,0,collision
195,35,-0.8248,6.5899,0.4322,-0.0831,0.2723,0,collision
196,39,-0.8295,6.8876,0.4366,-0.2760,0.1355,0,landed
197,41,-1.1745,5.2507,0.4417,-0.0407,0.1609,0,collision
198,39,1.9161,7.6639,0.4463,-0.0528,0.8696,1,collision
199,14,-2.0150,0.1918,0.4502,0.2439,0.2399,0,collision
200,20,-1.6135,2.3250,0.4514,0.1509,0.1294,0,collision
201,47,2.2717,10.2757,0.4524,-0.1274,0.6802,1,landed
202,32,-1.2436,5.1450,0.4537,-0.0642,0.0620,0,collision
203,50,2.2609,10.2269,0.4552,-0.1510,0.9947,1,collision
204,20,-0.8340,5.2623,0.4574,-0.2242,0.1464,0,collision
